"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 17:41:29 CST 2024","Mon Apr 15 17:41:30 CST 2024","901","TestCase","test_request","TestRequest","","","获取城市",""
"passed","Mon Apr 15 17:41:30 CST 2024","Mon Apr 15 17:41:30 CST 2024","0","TestCase","test_request","TestRequest","","","test1",""
"passed","Mon Apr 15 17:41:30 CST 2024","Mon Apr 15 17:41:30 CST 2024","309","TestCase","test_request","TestRequest","","","获取天气",""
